職缺名稱,公司,需求人數,職位類別,工作待遇,工作技能,學歷要求,地點,經歷要求,工作內容
[高雄] 軟體工程師 (Golang),天鏡科技股份有限公司,1~2人,軟體工程師,"月薪40,000~70,000元",不拘,大學,高雄市鹽埕區,1年,"負責開發和改進我們的雲端產品和平台，為我們的客戶提供最高品質的解決方案。

責任和職能：
* 開發公司直接面向客戶的產品。
* 對現有產品進行效能改善、加強穩固性和品質改善。
* 撰寫清晰、容易閱讀的程式碼。
* 與團隊協同工作，達成技術目標和解決技術挑戰。
* 提升開發者體驗，透過降低其他人的開發門檻來增加團隊生產力

必備技能和經驗：

* 具備一年以上的後端開發經驗。
* 具備一年以上的 Golang 程式語言的開發經驗。
* 熟悉 RESTful API 開發以及微服務架構。
* 熟悉關聯式資料庫，如 MySQL / PostgreSQL。
* 能夠在壓力下進行優先級排序和多任務處理。
* 具有良好的問題解決能力和卓越的溝通技巧。
* 熟練使用 Kubernetes 進行操作和應用程式的部署。"
IBM i (AS/400)程式設計師,第一產物保險股份有限公司,2~3人,"軟體工程師
、MIS程式設計師",待遇面議,不拘,專科,台北市中正區,1年,"1. 維護及開發應用系統、程式設計、撰寫及測試。
2. 參與及執行各項專案及查核。
3. 協助使用者排除問題。
4. 完成主管交辦事項。"
資安程式開發人員,凱信資訊股份有限公司,3~5人,"軟體工程師
、資安工程師
、Internet程式設計師","月薪35,000~60,000元",系統整合分析、軟體程式設計、網路程式設計、資料庫程式設計,大學,台北市松山區,不拘,"1. Java、Web Service、SQL 程式設計
2. 企業軟體之加值與整合開發"
資訊維護工程師(彰濱),秀傳醫療體系_秀傳醫療社團法人秀傳紀念醫院,1人,"資訊設備管制人員
、系統工程師","月薪28,590~35,000元",作業系統基本操作、資料備份與復原、資訊設備環境設定、文書處理軟體操作,專科,彰化縣鹿港鎮,1年,"1.電腦基本維修、安裝、故障排除
2.作業系統基本安裝與操作
3.資訊相關週邊設備檢修
4.資訊設備環境設定
5.電話接聽並進行遠端連線排除電腦問題
6.院區各項活動會場資訊相關需求環境安裝架設
7.長官臨時交辦事項處理
8.夜間值班ON CALL"
系統維護工程師,薩摩亞商廣立興業股份有限公司台灣分公司,1人,"系統工程師
、網路管理工程師
、MIS程式設計師","月薪36,000元以上",不拘,專科,台北市內湖區,1年,"1. 硬體及網路維護 
2. 資訊安全維護 
3. 應用軟體推廣協助"
Embedded system 韌體開發工程師,圓剛科技股份有限公司,1~2人,"軟體工程師
、韌體工程師",待遇面議,不拘,大學,新北市中和區,2年,負責開發embedded system影音產品的程式開發，需有Linux與MCU程式開發經驗
【IT】iPEBG 網絡規劃主任工程師,鴻海精密工業股份有限公司,不限,"網路管理工程師
、系統工程師
、資安主管",待遇面議,不拘,大學,新北市土城區,3年,"1.引進前沿網絡技術，結合現狀提出整體網絡架構規劃及改善方案
2.規劃網絡視覺化和智能流量調度系統
3.公司網絡方案規劃，製定模擬滲透攻擊和攻防演練方案，完善安全防禦體系
4.構建基于軟件定義網络（SDN）和網络功能虛擬化(NFV)的敏捷網絡運維體系
5.廠區WAN/LAN網絡架構設計、規劃與驗證實施，定期審計各廠區網絡架構、安全策略並提出優化建議
6.網絡設備配置、管理及參數優化，保障公司網絡通信穩定運行
7.網絡疑難故障排錯分析，快速準確判斷故障類型、原因並有效的制定及實施解決方案"
PCG240098-自動化_軟體設計理級人員(彰化),寶成工業股份有限公司,1人,"軟體專案管理師
、軟體工程師
、自動控制工程師",待遇面議,不拘,大學,彰化縣福興鄉,2年,"1.開發專案之設備工程問題查找以及設備機況排除，將設備調整優化，符合客戶產品設計需求。
2.開發自動化平台或軟體，優化內部團隊協作流程。
3.可主導且獨立工作，接收模糊性任務並可釐清需求交付成果
4.應用科學手法驗證實驗目的、熟悉科學工具，識別解決途徑、及訂定行動方式。
5.構思、生成、開發、實施專案之設備/軟體的設計、測試、安裝、修改與維護。"
軟體工程師(AOI)【高雄】,鏵友益科技股份有限公司,2人,"軟體工程師
、軟體專案主管
、其他資訊專業人員","月薪50,000~70,000元",不拘,碩士,高雄市路竹區,2年,"1.規劃執行軟體架構及模組設計。
2.視覺系統整合開發。
3.客戶端客需求功能開發。
4.測試開發元件並進行整合測試。
5.與研發人員進行演算法整合。
6.完成主管交辦事項。"
【2025年度研發替代役】車聯網軟體工程師,財團法人車輛研究測試中心,2人,"軟體工程師
、網路管理工程師
、資料庫管理人員",待遇面議,不拘,碩士,彰化縣鹿港鎮,不拘,"主要執行:
1.自駕車後台與資料庫開發：根據自駕車需求進行後台應用軟體開發
2.自駕車聯網網頁開發：自駕車聯網相關網頁相關程式語言及資料庫建立

投遞前請先確認是否符合2025年度研發替代役資格並請檢附成績單、論文摘要。"
