,job_link,company,company_link,experience,education,location,status
0,https://www.104.com.tw/job/81jsz?jobsource=hotjob_chr_exp,天眼衛星科技股份有限公司,https://www.104.com.tw/company/daw4ixk?jobsource=hotjob_chr_exp,2年,大學,台中市北屯區,Done
1,https://www.104.com.tw/job/7wul7?jobsource=hotjob_chr_exp,河筧工程有限公司,https://www.104.com.tw/company/cx87c2g?jobsource=hotjob_chr_exp,不拘,不拘,台中市西屯區,Done
2,https://www.104.com.tw/job/8oex9?jobsource=index_s,台灣威立雅環境資源股份有限公...,https://www.104.com.tw/company/1a2x6bmc9p?jobsource=index_s,10年,大學,台北市中山區,Done
3,https://www.104.com.tw/job/7lmhw?jobsource=index_s,華茂資訊股份有限公司,https://www.104.com.tw/company/cozyroo?jobsource=index_s,不拘,專科,新北市中和區,Done
4,https://www.104.com.tw/job/87b9k?jobsource=index_s,壹立方數碼股份有限公司,https://www.104.com.tw/company/1a2x6bmpkm?jobsource=index_s,不拘,專科,台南市永康區,Done
5,https://www.104.com.tw/job/8dkps?jobsource=index_s,八洋精密股份有限公司,https://www.104.com.tw/company/1a2x6bkitn?jobsource=index_s,不拘,專科,新北市三重區,Done
6,https://www.104.com.tw/job/8kx97?jobsource=index_s,美商時豪科技股份有限公司,https://www.104.com.tw/company/1a2x6blcd9?jobsource=index_s,不拘,大學,台北市中正區,Done
7,https://www.104.com.tw/job/7rp7x?jobsource=index_s,華茂資訊股份有限公司,https://www.104.com.tw/company/cozyroo?jobsource=index_s,1年,不拘,新北市中和區,Done
8,https://www.104.com.tw/job/758hn?jobsource=index_s,威釩資訊股份有限公司,https://www.104.com.tw/company/1a2x6bkrrr?jobsource=index_s,不拘,專科,台北市中山區,Done
9,https://www.104.com.tw/job/8mtum?jobsource=index_s,日商樂比亞股份有限公司台灣分...,https://www.104.com.tw/company/1a2x6bm2ii?jobsource=index_s,不拘,大學,台北市中正區,Done
10,https://www.104.com.tw/job/7gulu?jobsource=index_s,巨創策略股份有限公司,https://www.104.com.tw/company/1a2x6bk905?jobsource=index_s,不拘,專科,新北市新店區,Done
11,https://www.104.com.tw/job/6riat?jobsource=index_s,巨創策略股份有限公司,https://www.104.com.tw/company/1a2x6bk905?jobsource=index_s,1年,專科,新北市新店區,Done
12,https://www.104.com.tw/job/8o7uo?jobsource=index_s,巨創策略股份有限公司,https://www.104.com.tw/company/1a2x6bk905?jobsource=index_s,不拘,專科,新北市新店區,Done
13,https://www.104.com.tw/job/8o6y0?jobsource=index_s,基因線上股份有限公司,https://www.104.com.tw/company/1a2x6blvep?jobsource=index_s,不拘,大學,台北市信義區,Done
14,https://www.104.com.tw/job/7gelq?jobsource=index_s,梅科科技股份有限公司,https://www.104.com.tw/company/1a2x6bl0xm?jobsource=index_s,不拘,大學,台北市大安區,Done
